Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669856747.077938,,Eye Tracker,1390.0,649.0,Valid,Valid,Saccade
1669856747.094593,,Eye Tracker,1242.0,583.0,Valid,Valid,Saccade
1669856747.111247,,Eye Tracker,1226.0,587.0,Valid,Valid,Saccade
1669856747.127902,,Eye Tracker,1228.0,587.0,Valid,Valid,Fixation
1669856747.144557,,Eye Tracker,1229.0,581.0,Valid,Valid,Fixation
1669856747.161212,,Eye Tracker,1228.0,574.0,Valid,Valid,Fixation
1669856747.177867,,Eye Tracker,1228.0,573.0,Valid,Valid,Fixation
1669856747.194522,,Eye Tracker,1229.0,574.0,Valid,Valid,Fixation
1669856747.211176,,Eye Tracker,1228.0,573.0,Valid,Valid,Fixation
1669856747.227831,,Eye Tracker,1225.0,572.0,Valid,Valid,Fixation
1669856747.244486,,Eye Tracker,1226.0,570.0,Valid,Valid,Fixation
1669856747.26114,,Eye Tracker,1226.0,569.0,Valid,Valid,Fixation
1669856747.277795,,Eye Tracker,1228.0,570.0,Valid,Valid,Fixation
1669856747.29445,,Eye Tracker,1227.0,563.0,Valid,Valid,Fixation
1669856747.311105,,Eye Tracker,1227.0,563.0,Valid,Valid,Fixation
1669856747.327759,,Eye Tracker,1230.0,563.0,Valid,Valid,Fixation
1669856747.344414,,Eye Tracker,1230.0,558.0,Valid,Valid,Fixation
1669856747.361069,,Eye Tracker,1229.0,559.0,Valid,Valid,Fixation
1669856747.377723,,Eye Tracker,1230.0,559.0,Valid,Valid,Fixation
1669856747.394378,,Eye Tracker,1227.0,561.0,Valid,Valid,Fixation
1669856747.411034,,Eye Tracker,1227.0,564.0,Valid,Valid,Fixation
1669856747.427688,,Eye Tracker,1229.0,565.0,Valid,Valid,Fixation
1669856747.444343,,Eye Tracker,1226.0,563.0,Valid,Valid,Fixation
1669856747.460998,,Eye Tracker,1228.0,565.0,Valid,Valid,Fixation
1669856747.477652,,Eye Tracker,1229.0,565.0,Valid,Valid,Fixation
1669856747.494307,,Eye Tracker,1224.0,566.0,Valid,Valid,Fixation
1669856747.510962,,Eye Tracker,1222.0,566.0,Valid,Valid,Fixation
1669856747.527617,,Eye Tracker,1227.0,560.0,Valid,Valid,Fixation
1669856747.544272,,Eye Tracker,1228.0,559.0,Valid,Valid,Fixation
1669856747.560928,,Eye Tracker,1224.0,560.0,Valid,Valid,Fixation
1669856747.577583,,Eye Tracker,1223.0,558.0,Valid,Valid,Fixation
1669856747.594237,,Eye Tracker,1222.0,557.0,Valid,Valid,Fixation
1669856747.610892,,Eye Tracker,1224.0,558.0,Valid,Valid,Fixation
1669856747.627547,,Eye Tracker,1226.0,554.0,Valid,Valid,Fixation
1669856747.644202,,Eye Tracker,1226.0,553.0,Valid,Valid,Fixation
1669856747.660857,,Eye Tracker,1225.0,558.0,Valid,Valid,Fixation
1669856747.677512,,Eye Tracker,1188.0,558.0,Valid,Valid,Saccade
1669856747.694166,,Eye Tracker,1096.0,550.0,Valid,Valid,Saccade
1669856747.710821,,Eye Tracker,1060.0,544.0,Valid,Valid,Saccade
1669856747.727476,,Eye Tracker,1054.0,534.0,Valid,Valid,Fixation
1669856747.744131,,Eye Tracker,1055.0,532.0,Valid,Valid,Fixation
1669856747.760786,,Eye Tracker,1056.0,532.0,Valid,Valid,Fixation
1669856747.777441,,Eye Tracker,1055.0,532.0,Valid,Valid,Fixation
1669856747.794095,,Eye Tracker,1058.0,532.0,Valid,Valid,Fixation
1669856747.81075,,Eye Tracker,1056.0,529.0,Valid,Valid,Fixation
1669856747.827405,,Eye Tracker,1051.0,530.0,Valid,Valid,Fixation
1669856747.844061,,Eye Tracker,1052.0,528.0,Valid,Valid,Fixation
1669856747.860715,,Eye Tracker,1058.0,525.0,Valid,Valid,Fixation
1669856747.87737,,Eye Tracker,1055.0,524.0,Valid,Valid,Fixation
1669856747.894025,,Eye Tracker,1052.0,526.0,Valid,Valid,Fixation
1669856747.910679,,Eye Tracker,1080.0,523.0,Valid,Valid,Saccade
1669856747.927334,,Eye Tracker,1149.0,514.0,Valid,Valid,Saccade
1669856747.943989,,Eye Tracker,1189.0,516.0,Valid,Valid,Saccade
1669856747.960644,,Eye Tracker,1197.0,521.0,Valid,Valid,Fixation
1669856747.9773,,Eye Tracker,1198.0,525.0,Valid,Valid,Fixation
1669856747.993955,,Eye Tracker,1196.0,529.0,Valid,Valid,Fixation
1669856748.010609,,Eye Tracker,1197.0,530.0,Valid,Valid,Fixation
1669856748.027264,,Eye Tracker,1197.0,527.0,Valid,Valid,Fixation
1669856748.043919,,Eye Tracker,1197.0,526.0,Valid,Valid,Fixation
1669856748.060574,,Eye Tracker,1194.0,531.0,Valid,Valid,Fixation
1669856748.077229,,Eye Tracker,1195.0,530.0,Valid,Valid,Fixation
1669856748.093884,,Eye Tracker,1198.0,526.0,Valid,Valid,Fixation
1669856748.110539,,Eye Tracker,1195.0,527.0,Valid,Valid,Fixation
1669856748.127193,,Eye Tracker,1193.0,528.0,Valid,Valid,Fixation
1669856748.143848,,Eye Tracker,1192.0,528.0,Valid,Valid,Fixation
1669856748.160503,,Eye Tracker,1193.0,528.0,Valid,Valid,Fixation
1669856748.177158,,Eye Tracker,1195.0,527.0,Valid,Valid,Fixation
1669856748.193813,,Eye Tracker,1195.0,528.0,Valid,Valid,Fixation
1669856748.210468,,Eye Tracker,1195.0,530.0,Valid,Valid,Fixation
1669856748.227122,,Eye Tracker,1194.0,527.0,Valid,Valid,Fixation
1669856748.243777,,Eye Tracker,1193.0,528.0,Valid,Valid,Fixation
1669856748.260432,,Eye Tracker,1195.0,534.0,Valid,Valid,Fixation
1669856748.277087,,Eye Tracker,1195.0,535.0,Valid,Valid,Fixation
1669856748.293742,,Eye Tracker,1196.0,537.0,Valid,Valid,Fixation
1669856748.310397,,Eye Tracker,1195.0,536.0,Valid,Valid,Fixation
1669856748.327051,,Eye Tracker,1208.0,537.0,Valid,Valid,Fixation
1669856748.343706,,Eye Tracker,1219.0,541.0,Valid,Valid,Fixation
1669856748.360362,,Eye Tracker,1220.0,547.0,Valid,Valid,Fixation
1669856748.377017,,Eye Tracker,1219.0,548.0,Valid,Valid,Fixation
1669856748.393672,,Eye Tracker,1218.0,547.0,Valid,Valid,Fixation
1669856748.410327,,Eye Tracker,1217.0,546.0,Valid,Valid,Fixation
1669856748.426982,,Eye Tracker,1219.0,549.0,Valid,Valid,Fixation
1669856748.443636,,Eye Tracker,1219.0,549.0,Valid,Valid,Fixation
1669856748.460291,,Eye Tracker,1221.0,549.0,Valid,Valid,Fixation
1669856748.476946,,Eye Tracker,1220.0,551.0,Valid,Valid,Fixation
1669856748.493601,,Eye Tracker,1217.0,545.0,Valid,Valid,Fixation
1669856748.510256,,Eye Tracker,1219.0,542.0,Valid,Valid,Fixation
1669856748.526911,,Eye Tracker,1221.0,544.0,Valid,Valid,Fixation
1669856748.543565,,Eye Tracker,1220.0,547.0,Valid,Valid,Fixation
1669856748.56022,,Eye Tracker,1217.0,548.0,Valid,Valid,Fixation
1669856748.576875,,Eye Tracker,1219.0,546.0,Valid,Valid,Fixation
1669856748.593529,,Eye Tracker,1221.0,545.0,Valid,Valid,Fixation
1669856748.610185,,Eye Tracker,1218.0,547.0,Valid,Valid,Fixation
1669856748.62684,,Eye Tracker,1219.0,544.0,Valid,Valid,Fixation
1669856748.643495,,Eye Tracker,1231.0,551.0,Valid,Valid,Fixation
1669856748.660149,,Eye Tracker,1253.0,587.0,Valid,Valid,Saccade
1669856748.676804,,Eye Tracker,1263.0,610.0,Valid,Valid,Saccade
1669856748.69346,,Eye Tracker,1260.0,615.0,Valid,Valid,Fixation
1669856748.710114,,Eye Tracker,1261.0,618.0,Valid,Valid,Fixation
1669856748.726769,,Eye Tracker,1262.0,614.0,Valid,Valid,Fixation
1669856748.743424,,Eye Tracker,1262.0,616.0,Valid,Valid,Fixation
1669856748.760078,,Eye Tracker,1258.0,614.0,Valid,Valid,Fixation
1669856748.776734,,Eye Tracker,1253.0,615.0,Valid,Valid,Fixation
1669856748.793389,,Eye Tracker,1250.0,619.0,Valid,Valid,Fixation
1669856748.810043,,Eye Tracker,1245.0,615.0,Valid,Valid,Fixation
1669856748.826699,,Eye Tracker,1245.0,618.0,Valid,Valid,Fixation
1669856748.843354,,Eye Tracker,1207.0,616.0,Valid,Valid,Saccade
1669856748.860008,,Eye Tracker,1099.0,578.0,Valid,Valid,Saccade
1669856748.876663,,Eye Tracker,1016.0,538.0,Valid,Valid,Saccade
1669856748.893318,,Eye Tracker,962.0,518.0,Valid,Valid,Saccade
1669856748.909973,,Eye Tracker,960.0,519.0,Valid,Valid,Fixation
1669856748.926628,,Eye Tracker,964.0,517.0,Valid,Valid,Fixation
1669856748.943283,,Eye Tracker,964.0,517.0,Valid,Valid,Fixation
1669856748.959938,,Eye Tracker,966.0,519.0,Valid,Valid,Fixation
1669856748.976592,,Eye Tracker,965.0,519.0,Valid,Valid,Fixation
1669856748.993247,,Eye Tracker,964.0,518.0,Valid,Valid,Fixation
1669856749.009903,,Eye Tracker,965.0,516.0,Valid,Valid,Fixation
1669856749.026557,,Eye Tracker,962.0,515.0,Valid,Valid,Fixation
1669856749.043212,,Eye Tracker,962.0,518.0,Valid,Valid,Fixation
1669856749.059867,,Eye Tracker,961.0,514.0,Valid,Valid,Fixation
1669856749.076521,,Eye Tracker,961.0,511.0,Valid,Valid,Fixation
1669856749.093176,,Eye Tracker,961.0,509.0,Valid,Valid,Fixation
1669856749.109832,,Eye Tracker,960.0,508.0,Valid,Valid,Fixation
1669856749.126486,,Eye Tracker,961.0,512.0,Valid,Valid,Fixation
1669856749.143141,,Eye Tracker,962.0,515.0,Valid,Valid,Fixation
1669856749.159796,,Eye Tracker,963.0,517.0,Valid,Valid,Fixation
1669856749.176451,,Eye Tracker,963.0,516.0,Valid,Valid,Fixation
1669856749.193106,,Eye Tracker,962.0,514.0,Valid,Valid,Fixation
1669856749.209761,,Eye Tracker,963.0,513.0,Valid,Valid,Fixation
1669856749.226416,,Eye Tracker,962.0,514.0,Valid,Valid,Fixation
1669856749.243071,,Eye Tracker,968.0,513.0,Valid,Valid,Fixation
1669856749.259726,,Eye Tracker,994.0,499.0,Valid,Valid,Saccade
1669856749.276381,,Eye Tracker,1003.0,492.0,Valid,Valid,Fixation
1669856749.293035,,Eye Tracker,1004.0,496.0,Valid,Valid,Fixation
1669856749.30969,,Eye Tracker,1004.0,497.0,Valid,Valid,Fixation
1669856749.326346,,Eye Tracker,1003.0,496.0,Valid,Valid,Fixation
1669856749.343,,Eye Tracker,1001.0,497.0,Valid,Valid,Fixation
1669856749.359655,,Eye Tracker,999.0,496.0,Valid,Valid,Fixation
1669856749.37631,,Eye Tracker,1000.0,494.0,Valid,Valid,Fixation
1669856749.392964,,Eye Tracker,1001.0,492.0,Valid,Valid,Fixation
1669856749.409619,,Eye Tracker,1001.0,491.0,Valid,Valid,Fixation
1669856749.426275,,Eye Tracker,1003.0,489.0,Valid,Valid,Fixation
1669856749.44293,,Eye Tracker,1002.0,489.0,Valid,Valid,Fixation
1669856749.459584,,Eye Tracker,1002.0,488.0,Valid,Valid,Fixation
1669856749.476239,,Eye Tracker,1002.0,486.0,Valid,Valid,Fixation
1669856749.492894,,Eye Tracker,1000.0,480.0,Valid,Valid,Fixation
1669856749.509548,,Eye Tracker,999.0,479.0,Valid,Valid,Fixation
1669856749.526203,,Eye Tracker,1001.0,483.0,Valid,Valid,Fixation
1669856749.542859,,Eye Tracker,1001.0,483.0,Valid,Valid,Fixation
1669856749.559513,,Eye Tracker,1004.0,480.0,Valid,Valid,Fixation
1669856749.576168,,Eye Tracker,1005.0,481.0,Valid,Valid,Fixation
1669856749.592824,,Eye Tracker,1002.0,482.0,Valid,Valid,Fixation
1669856749.609478,,Eye Tracker,1001.0,482.0,Valid,Valid,Fixation
1669856749.626133,,Eye Tracker,1001.0,482.0,Valid,Valid,Fixation
1669856749.642789,,Eye Tracker,1001.0,482.0,Valid,Valid,Fixation
1669856749.659443,,Eye Tracker,1000.0,481.0,Valid,Valid,Fixation
1669856749.676098,,Eye Tracker,999.0,481.0,Valid,Valid,Fixation
1669856749.692753,,Eye Tracker,998.0,481.0,Valid,Valid,Fixation
1669856749.709408,,Eye Tracker,996.0,481.0,Valid,Valid,Fixation
1669856749.726062,,Eye Tracker,994.0,480.0,Valid,Valid,Fixation
1669856749.742718,,Eye Tracker,959.0,488.0,Valid,Valid,Saccade
1669856749.759373,,Eye Tracker,915.0,509.0,Valid,Valid,Saccade
1669856749.776027,,Eye Tracker,915.0,517.0,Valid,Valid,Fixation
1669856749.792682,,Eye Tracker,913.0,517.0,Valid,Valid,Fixation
1669856749.809337,,Eye Tracker,911.0,516.0,Valid,Valid,Fixation
1669856749.825991,,Eye Tracker,914.0,525.0,Valid,Valid,Fixation
1669856749.842646,,Eye Tracker,914.0,525.0,Valid,Valid,Fixation
1669856749.859302,,Eye Tracker,912.0,528.0,Valid,Valid,Fixation
1669856749.875956,,Eye Tracker,912.0,524.0,Valid,Valid,Fixation
1669856749.892611,,Eye Tracker,911.0,522.0,Valid,Valid,Fixation
1669856749.909267,,Eye Tracker,884.0,526.0,Valid,Valid,Saccade
1669856749.925921,,Eye Tracker,811.0,494.0,Valid,Valid,Saccade
1669856749.942576,,Eye Tracker,767.0,429.0,Valid,Valid,Saccade
1669856749.959231,,Eye Tracker,751.0,376.0,Valid,Valid,Saccade
1669856749.975886,,Eye Tracker,757.0,375.0,Valid,Valid,Fixation
1669856749.99254,,Eye Tracker,741.0,363.0,Valid,Valid,Fixation
1669856750.009196,,Eye Tracker,740.0,363.0,Valid,Valid,Fixation
1669856750.025851,,Eye Tracker,746.0,360.0,Valid,Valid,Fixation
1669856750.042505,,Eye Tracker,747.0,358.0,Valid,Valid,Fixation
1669856750.05916,,Eye Tracker,741.0,363.0,Valid,Valid,Fixation
1669856750.075816,,Eye Tracker,737.0,346.0,Valid,Valid,Fixation
1669856750.09247,,Eye Tracker,723.0,313.0,Valid,Valid,Saccade
1669856750.109125,,Eye Tracker,707.0,291.0,Valid,Valid,Saccade
1669856750.12578,,Eye Tracker,709.0,294.0,Valid,Valid,Fixation
1669856750.142434,,Eye Tracker,706.0,295.0,Valid,Valid,Fixation
1669856750.159089,,Eye Tracker,707.0,289.0,Valid,Valid,Fixation
1669856750.175745,,Eye Tracker,707.0,286.0,Valid,Valid,Fixation
1669856750.192399,,Eye Tracker,704.0,292.0,Valid,Valid,Fixation
1669856750.209054,,Eye Tracker,704.0,291.0,Valid,Valid,Fixation
1669856750.22571,,Eye Tracker,708.0,290.0,Valid,Valid,Fixation
1669856750.242365,,Eye Tracker,706.0,291.0,Valid,Valid,Fixation
1669856750.259019,,Eye Tracker,702.0,287.0,Valid,Valid,Fixation
1669856750.275674,,Eye Tracker,703.0,284.0,Valid,Valid,Fixation
1669856750.292329,,Eye Tracker,702.0,284.0,Valid,Valid,Fixation
1669856750.308983,,Eye Tracker,701.0,285.0,Valid,Valid,Fixation
1669856750.325639,,Eye Tracker,701.0,286.0,Valid,Valid,Fixation
1669856750.342294,,Eye Tracker,701.0,288.0,Valid,Valid,Fixation
1669856750.358948,,Eye Tracker,698.0,285.0,Valid,Valid,Fixation
1669856750.375603,,Eye Tracker,699.0,282.0,Valid,Valid,Fixation
1669856750.392258,,Eye Tracker,702.0,283.0,Valid,Valid,Fixation
1669856750.408913,,Eye Tracker,701.0,285.0,Valid,Valid,Fixation
1669856750.425568,,Eye Tracker,700.0,285.0,Valid,Valid,Fixation
1669856750.442223,,Eye Tracker,699.0,284.0,Valid,Valid,Fixation
1669856750.458877,,Eye Tracker,701.0,283.0,Valid,Valid,Fixation
1669856750.475532,,Eye Tracker,701.0,285.0,Valid,Valid,Fixation
1669856750.492188,,Eye Tracker,698.0,289.0,Valid,Valid,Fixation
1669856750.508843,,Eye Tracker,699.0,289.0,Valid,Valid,Fixation
1669856750.525498,,Eye Tracker,698.0,289.0,Valid,Valid,Fixation
1669856750.542153,,Eye Tracker,699.0,287.0,Valid,Valid,Fixation
1669856750.558808,,Eye Tracker,702.0,289.0,Valid,Valid,Fixation
1669856750.575462,,Eye Tracker,699.0,292.0,Valid,Valid,Fixation
1669856750.592117,,Eye Tracker,704.0,292.0,Valid,Valid,Fixation
1669856750.608772,,Eye Tracker,706.0,294.0,Valid,Valid,Fixation
1669856750.625426,,Eye Tracker,707.0,292.0,Valid,Valid,Fixation
1669856750.642082,,Eye Tracker,707.0,290.0,Valid,Valid,Fixation
1669856750.658737,,Eye Tracker,705.0,291.0,Valid,Valid,Fixation
1669856750.675391,,Eye Tracker,703.0,295.0,Valid,Valid,Fixation
1669856750.692046,,Eye Tracker,700.0,287.0,Valid,Valid,Fixation
1669856750.708701,,Eye Tracker,701.0,290.0,Valid,Valid,Fixation
1669856750.725355,,Eye Tracker,703.0,292.0,Valid,Valid,Fixation
1669856750.742011,,Eye Tracker,704.0,292.0,Valid,Valid,Fixation
1669856750.758666,,Eye Tracker,703.0,294.0,Valid,Valid,Fixation
1669856750.775321,,Eye Tracker,702.0,291.0,Valid,Valid,Fixation
1669856750.791975,,Eye Tracker,701.0,289.0,Valid,Valid,Fixation
1669856750.80863,,Eye Tracker,702.0,289.0,Valid,Valid,Fixation
1669856750.825286,,Eye Tracker,699.0,290.0,Valid,Valid,Fixation
1669856750.841941,,Eye Tracker,701.0,289.0,Valid,Valid,Fixation
1669856750.858596,,Eye Tracker,705.0,289.0,Valid,Valid,Fixation
1669856750.875251,,Eye Tracker,707.0,291.0,Valid,Valid,Fixation
1669856750.891905,,Eye Tracker,705.0,291.0,Valid,Valid,Fixation
1669856750.90856,,Eye Tracker,703.0,289.0,Valid,Valid,Fixation
1669856750.925215,,Eye Tracker,704.0,288.0,Valid,Valid,Fixation
1669856750.94187,,Eye Tracker,706.0,292.0,Valid,Valid,Fixation
1669856750.958525,,Eye Tracker,705.0,293.0,Valid,Valid,Fixation
1669856750.97518,,Eye Tracker,705.0,288.0,Valid,Valid,Fixation
1669856750.991834,,Eye Tracker,705.0,289.0,Valid,Valid,Fixation
1669856751.008489,,Eye Tracker,703.0,290.0,Valid,Valid,Fixation
1669856751.025144,,Eye Tracker,706.0,289.0,Valid,Valid,Fixation
1669856751.041799,,Eye Tracker,704.0,288.0,Valid,Valid,Fixation
1669856751.058454,,Eye Tracker,704.0,288.0,Valid,Valid,Fixation
1669856751.075109,,Eye Tracker,707.0,288.0,Valid,Valid,Fixation
1669856751.091764,,Eye Tracker,705.0,288.0,Valid,Valid,Fixation
1669856751.108418,,Eye Tracker,703.0,289.0,Valid,Valid,Fixation
1669856751.125073,,Eye Tracker,701.0,289.0,Valid,Valid,Fixation
1669856751.141728,,Eye Tracker,705.0,290.0,Valid,Valid,Fixation
1669856751.158383,,Eye Tracker,707.0,290.0,Valid,Valid,Fixation
1669856751.175039,,Eye Tracker,704.0,291.0,Valid,Valid,Fixation
1669856751.191694,,Eye Tracker,704.0,292.0,Valid,Valid,Fixation
1669856751.208348,,Eye Tracker,705.0,291.0,Valid,Valid,Fixation
1669856751.225003,,Eye Tracker,707.0,291.0,Valid,Valid,Fixation
1669856751.241658,,Eye Tracker,707.0,290.0,Valid,Valid,Fixation
1669856751.258313,,Eye Tracker,704.0,290.0,Valid,Valid,Fixation
1669856751.274968,,Eye Tracker,705.0,289.0,Valid,Valid,Fixation
1669856751.291623,,Eye Tracker,708.0,287.0,Valid,Valid,Fixation
1669856751.308278,,Eye Tracker,709.0,289.0,Valid,Valid,Fixation
1669856751.324932,,Eye Tracker,707.0,290.0,Valid,Valid,Fixation
1669856751.341587,,Eye Tracker,706.0,291.0,Valid,Valid,Fixation
1669856751.358242,,Eye Tracker,708.0,292.0,Valid,Valid,Fixation
1669856751.374897,,Eye Tracker,709.0,292.0,Valid,Valid,Fixation
1669856751.391552,,Eye Tracker,708.0,291.0,Valid,Valid,Fixation
1669856751.408207,,Eye Tracker,708.0,293.0,Valid,Valid,Fixation
1669856751.424861,,Eye Tracker,710.0,292.0,Valid,Valid,Fixation
1669856751.441516,,Eye Tracker,711.0,295.0,Valid,Valid,Fixation
1669856751.458171,,Eye Tracker,708.0,296.0,Valid,Valid,Fixation
1669856751.474826,,Eye Tracker,709.0,295.0,Valid,Valid,Fixation
1669856751.491482,,Eye Tracker,713.0,297.0,Valid,Valid,Fixation
1669856751.508137,,Eye Tracker,713.0,297.0,Valid,Valid,Fixation
1669856751.524791,,Eye Tracker,712.0,298.0,Valid,Valid,Fixation
1669856751.541446,,Eye Tracker,712.0,298.0,Valid,Valid,Fixation
1669856751.558101,,Eye Tracker,709.0,300.0,Valid,Valid,Fixation
1669856751.574756,,Eye Tracker,707.0,298.0,Valid,Valid,Fixation
1669856751.591411,,Eye Tracker,709.0,297.0,Valid,Valid,Fixation
1669856751.608066,,Eye Tracker,714.0,301.0,Valid,Valid,Fixation
1669856751.624721,,Eye Tracker,711.0,298.0,Valid,Valid,Fixation
1669856751.641375,,Eye Tracker,706.0,296.0,Valid,Valid,Fixation
1669856751.65803,,Eye Tracker,706.0,294.0,Valid,Valid,Fixation
1669856751.674686,,Eye Tracker,706.0,290.0,Valid,Valid,Fixation
1669856751.69134,,Eye Tracker,706.0,292.0,Valid,Valid,Fixation
1669856751.707995,,Eye Tracker,704.0,294.0,Valid,Valid,Fixation
1669856751.72465,,Eye Tracker,707.0,292.0,Valid,Valid,Fixation
1669856751.741304,,Eye Tracker,709.0,293.0,Valid,Valid,Fixation
1669856751.757959,,Eye Tracker,709.0,291.0,Valid,Valid,Fixation
1669856751.774614,,Eye Tracker,706.0,287.0,Valid,Valid,Fixation
1669856751.79127,,Eye Tracker,703.0,288.0,Valid,Valid,Fixation
1669856751.807925,,Eye Tracker,706.0,289.0,Valid,Valid,Fixation
1669856751.82458,,Eye Tracker,707.0,290.0,Valid,Valid,Fixation
1669856751.841235,,Eye Tracker,706.0,288.0,Valid,Valid,Fixation
1669856751.857889,,Eye Tracker,705.0,288.0,Valid,Valid,Fixation
1669856751.874544,,Eye Tracker,706.0,287.0,Valid,Valid,Fixation
1669856751.8912,,Eye Tracker,705.0,291.0,Valid,Valid,Fixation
1669856751.907854,,Eye Tracker,704.0,294.0,Valid,Valid,Fixation
1669856751.924509,,Eye Tracker,704.0,289.0,Valid,Valid,Fixation
1669856751.941164,,Eye Tracker,717.0,289.0,Valid,Valid,Fixation
1669856751.957818,,Eye Tracker,731.0,291.0,Valid,Valid,Fixation
1669856751.974473,,Eye Tracker,1064.0,460.0,Valid,Valid,Saccade
1669856751.991129,,Eye Tracker,1116.0,474.0,Valid,Valid,Saccade
1669856752.007783,,Eye Tracker,1161.0,483.0,Valid,Valid,Saccade
1669856752.024438,,Eye Tracker,1164.0,480.0,Valid,Valid,Fixation
1669856752.041093,,Eye Tracker,1169.0,478.0,Valid,Valid,Fixation
1669856752.057747,,Eye Tracker,1177.0,486.0,Valid,Valid,Fixation
1669856752.074402,,Eye Tracker,1174.0,493.0,Valid,Valid,Fixation
1669856752.091058,,Eye Tracker,1166.0,490.0,Valid,Valid,Fixation
1669856752.107714,,Eye Tracker,1166.0,491.0,Valid,Valid,Fixation
1669856752.124368,,Eye Tracker,1171.0,494.0,Valid,Valid,Fixation
1669856752.141023,,Eye Tracker,1172.0,496.0,Valid,Valid,Fixation
1669856752.157678,,Eye Tracker,1176.0,496.0,Valid,Valid,Fixation
1669856752.174332,,Eye Tracker,1153.0,506.0,Valid,Valid,Saccade
1669856752.190987,,Eye Tracker,1050.0,555.0,Valid,Valid,Saccade
1669856752.207643,,Eye Tracker,907.0,607.0,Valid,Valid,Saccade
1669856752.224297,,Eye Tracker,819.0,631.0,Valid,Valid,Saccade
1669856752.240952,,Eye Tracker,818.0,635.0,Valid,Valid,Fixation
1669856752.257607,,Eye Tracker,816.0,642.0,Valid,Valid,Fixation
1669856752.274261,,Eye Tracker,815.0,643.0,Valid,Valid,Fixation
1669856752.290916,,Eye Tracker,810.0,639.0,Valid,Valid,Fixation
1669856752.307572,,Eye Tracker,816.0,637.0,Valid,Valid,Fixation
1669856752.324226,,Eye Tracker,821.0,636.0,Valid,Valid,Fixation
1669856752.340881,,Eye Tracker,822.0,640.0,Valid,Valid,Fixation
1669856752.357536,,Eye Tracker,818.0,642.0,Valid,Valid,Fixation
1669856752.374191,,Eye Tracker,817.0,645.0,Valid,Valid,Fixation
1669856752.390845,,Eye Tracker,817.0,645.0,Valid,Valid,Fixation
1669856752.4075,,Eye Tracker,830.0,622.0,Valid,Valid,Saccade
1669856752.424156,,Eye Tracker,889.0,556.0,Valid,Valid,Saccade
1669856752.44081,,Eye Tracker,928.0,516.0,Valid,Valid,Saccade
1669856752.457465,,Eye Tracker,945.0,497.0,Valid,Valid,Saccade
1669856752.47412,,Eye Tracker,947.0,498.0,Valid,Valid,Fixation
1669856752.490774,,Eye Tracker,946.0,496.0,Valid,Valid,Fixation
1669856752.507429,,Eye Tracker,948.0,492.0,Valid,Valid,Fixation
1669856752.524084,,Eye Tracker,948.0,491.0,Valid,Valid,Fixation
1669856752.540738,,Eye Tracker,947.0,492.0,Valid,Valid,Fixation
1669856752.557393,,Eye Tracker,951.0,491.0,Valid,Valid,Fixation
1669856752.574048,,Eye Tracker,950.0,490.0,Valid,Valid,Fixation
1669856752.590702,,Eye Tracker,945.0,491.0,Valid,Valid,Fixation
1669856752.607357,,Eye Tracker,947.0,492.0,Valid,Valid,Fixation
1669856752.624012,,Eye Tracker,950.0,492.0,Valid,Valid,Fixation
1669856752.640667,,Eye Tracker,976.0,498.0,Valid,Valid,Saccade
1669856752.657321,,Eye Tracker,1085.0,520.0,Valid,Valid,Saccade
1669856752.673976,,Eye Tracker,1136.0,529.0,Valid,Valid,Saccade
1669856752.690631,,Eye Tracker,1148.0,534.0,Valid,Valid,Fixation
1669856752.707285,,Eye Tracker,1155.0,531.0,Valid,Valid,Fixation
1669856752.72394,,Eye Tracker,1159.0,526.0,Valid,Valid,Fixation
1669856752.740596,,Eye Tracker,1158.0,523.0,Valid,Valid,Fixation
1669856752.75725,,Eye Tracker,1157.0,522.0,Valid,Valid,Fixation
1669856752.773905,,Eye Tracker,1158.0,523.0,Valid,Valid,Fixation
1669856752.79056,,Eye Tracker,1163.0,526.0,Valid,Valid,Fixation
1669856752.807214,,Eye Tracker,1165.0,525.0,Valid,Valid,Fixation
1669856752.823869,,Eye Tracker,1163.0,522.0,Valid,Valid,Fixation
1669856752.840524,,Eye Tracker,1180.0,525.0,Valid,Valid,Fixation
1669856752.857178,,Eye Tracker,1203.0,527.0,Valid,Valid,Saccade
1669856752.873833,,Eye Tracker,1206.0,527.0,Valid,Valid,Fixation
1669856752.890488,,Eye Tracker,1206.0,528.0,Valid,Valid,Fixation
1669856752.907143,,Eye Tracker,1209.0,527.0,Valid,Valid,Fixation
1669856752.923797,,Eye Tracker,1211.0,526.0,Valid,Valid,Fixation
1669856752.940452,,Eye Tracker,1209.0,528.0,Valid,Valid,Fixation
1669856752.957107,,Eye Tracker,1207.0,528.0,Valid,Valid,Fixation
1669856752.973761,,Eye Tracker,1207.0,527.0,Valid,Valid,Fixation
1669856752.990416,,Eye Tracker,1206.0,530.0,Valid,Valid,Fixation
1669856753.007071,,Eye Tracker,1207.0,533.0,Valid,Valid,Fixation
1669856753.023725,,Eye Tracker,1207.0,533.0,Valid,Valid,Fixation
1669856753.04038,,Eye Tracker,1205.0,534.0,Valid,Valid,Fixation
1669856753.057036,,Eye Tracker,1203.0,535.0,Valid,Valid,Fixation
1669856753.07369,,Eye Tracker,1205.0,533.0,Valid,Valid,Fixation
1669856753.090345,,Eye Tracker,1207.0,532.0,Valid,Valid,Fixation
